#Indent,Branch,PV,Description,Latch,Delay,Count,Filter,Guidance
0,LCLS,,,,,,,
1,BCS,,,,,,,
2,ALL:BCS:1,,,,,,,"BCS ,Group Name: ALL:BCS:1 ,SummaryPV: ALL:BCS:1:STATSUMY ,"
3,BCS:GLOBAL:1,,,,,,,"GLOBAL BCS subsystem ,Group Name: BCS:GLOBAL:1 ,Summary PV:  BCS:GLOBAL:1:STATSUMY ,"
,,BCS:IN20:1:BEAMPERM,,false,0,,BCS:IN20:1:BEAMPERMFP,
,,BCS:IN20:1:SBIPERM,,false,0,,BCS:IN20:1:SBIPERMFP,
,,BCS:MCC0:1:SBIPERMIT,,false,0,,BCS:MCC0:1:SBIPERMITFP,
,,BCS:IN20:1:TIUPERM,,false,0,,BCS:IN20:1:TIUPERMFP,
,,BCS:IN20:1:LSSPERM,,false,0,,BCS:IN20:1:LSSPERMFP,
4,BCS:GLOBAL:DSC,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC ,Summary PV: BCS:GLOBAL:DSC:STATSUMY ,"
5,BCS:GLOBAL:DSC:DMP0,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:DMP0 ,Summary PV: BCS:GLOBAL:DSC:DMP0:STATSUMY ,"
6,BCS:GLOBAL:DSC:DMP0:BC01:A,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:DMP0:BC01:A ,Summary PV: BCS:GLOBAL:DSC:DMP0:BC01:A:STATSUMY ,"
,,DSC:DMP0:BC01:CH1_A,,false,0,,DSC:DMP0:BC01:CH1_AFP,
,,DSC:DMP0:BC01:CH2_A,,false,0,,DSC:DMP0:BC01:CH2_AFP,
,,DSC:DMP0:BC01:CH3_A,,false,0,,DSC:DMP0:BC01:CH3_AFP,
,,DSC:DMP0:BC01:CH4_A,,false,0,,DSC:DMP0:BC01:CH4_AFP,
,,DSC:DMP0:BC01:CH5_A,,false,0,,DSC:DMP0:BC01:CH5_AFP,
,,DSC:DMP0:BC01:CH6_A,,false,0,,DSC:DMP0:BC01:CH6_AFP,
,,DSC:DMP0:BC01:CH7_A,,false,0,,DSC:DMP0:BC01:CH7_AFP,
,,DSC:DMP0:BC01:CH8_A,,false,0,,DSC:DMP0:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:DMP0:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:DMP0:BC01:B ,Summary PV: BCS:GLOBAL:DSC:DMP0:BC01:B:STATSUMY ,"
,,DSC:DMP0:BC01:CH1_B,,false,0,,DSC:DMP0:BC01:CH1_BFP,
,,DSC:DMP0:BC01:CH2_B,,false,0,,DSC:DMP0:BC01:CH2_BFP,
,,DSC:DMP0:BC01:CH3_B,,false,0,,DSC:DMP0:BC01:CH3_BFP,
,,DSC:DMP0:BC01:CH4_B,,false,0,,DSC:DMP0:BC01:CH4_BFP,
,,DSC:DMP0:BC01:CH5_B,,false,0,,DSC:DMP0:BC01:CH5_BFP,
,,DSC:DMP0:BC01:CH6_B,,false,0,,DSC:DMP0:BC01:CH6_BFP,
,,DSC:DMP0:BC01:CH7_B,,false,0,,DSC:DMP0:BC01:CH7_BFP,
,,DSC:DMP0:BC01:CH8_B,,false,0,,DSC:DMP0:BC01:CH8_BFP,
5,BCS:GLOBAL:DSC:UND0,,,,,,,"BCS PLC (DSC) ,Group Name: BCS:GLOBAL:DSC:UND0 ,Summary PV: BCS:GLOBAL:DSC:UND0:STATSUMY ,"
6,BCS:GLOBAL:DSC:UND0:BC01:A,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:UND0:BC01:A ,Summary PV: BCS:GLOBAL:DSC:UND0:BC01:A:STATSUMY ,"
,,DSC:UND0:BC01:CH1_A,,false,0,,DSC:UND0:BC01:CH1_AFP,
,,DSC:UND0:BC01:CH2_A,,false,0,,DSC:UND0:BC01:CH2_AFP,
,,DSC:UND0:BC01:CH3_A,,false,0,,DSC:UND0:BC01:CH3_AFP,
,,DSC:UND0:BC01:CH4_A,,false,0,,DSC:UND0:BC01:CH4_AFP,
,,DSC:UND0:BC01:CH5_A,,false,0,,DSC:UND0:BC01:CH5_AFP,
,,DSC:UND0:BC01:CH6_A,,false,0,,DSC:UND0:BC01:CH6_AFP,
,,DSC:UND0:BC01:CH7_A,,false,0,,DSC:UND0:BC01:CH7_AFP,
,,DSC:UND0:BC01:CH8_A,,false,0,,DSC:UND0:BC01:CH8_AFP,
6,BCS:GLOBAL:DSC:UND0:BC01:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:UND0:BC01:B ,Summary PV: BCS:GLOBAL:DSC:UND0:BC01:B:STATSUMY ,"
,,DSC:UND0:BC01:CH1_B,,false,0,,DSC:UND0:BC01:CH1_BFP,
,,DSC:UND0:BC01:CH2_B,,false,0,,DSC:UND0:BC01:CH2_BFP,
,,DSC:UND0:BC01:CH3_B,,false,0,,DSC:UND0:BC01:CH3_BFP,
,,DSC:UND0:BC01:CH4_B,,false,0,,DSC:UND0:BC01:CH4_BFP,
,,DSC:UND0:BC01:CH5_B,,false,0,,DSC:UND0:BC01:CH5_BFP,
,,DSC:UND0:BC01:CH6_B,,false,0,,DSC:UND0:BC01:CH6_BFP,
,,DSC:UND0:BC01:CH7_B,,false,0,,DSC:UND0:BC01:CH7_BFP,
,,DSC:UND0:BC01:CH8_B,,false,0,,DSC:UND0:BC01:CH8_BFP,
6,BCS:GLOBAL:DSC:UND0:BC02:A,,,,,,,"BCS PLC (DSC) BC02 ,Group Name: BCS:GLOBAL:DSC:UND0:BC02:A ,Summary PV: BCS:GLOBAL:DSC:UND0:BC02:A:STATSUMY ,"
,,DSC:UND0:BC02:CH1_A,,false,0,,DSC:UND0:BC02:CH1_AFP,
,,DSC:UND0:BC02:CH2_A,,false,0,,DSC:UND0:BC02:CH2_AFP,
,,DSC:UND0:BC02:CH3_A,,false,0,,DSC:UND0:BC02:CH3_AFP,
,,DSC:UND0:BC02:CH4_A,,false,0,,DSC:UND0:BC02:CH4_AFP,
,,DSC:UND0:BC02:CH5_A,,false,0,,DSC:UND0:BC02:CH5_AFP,
,,DSC:UND0:BC02:CH6_A,,false,0,,DSC:UND0:BC02:CH6_AFP,
,,DSC:UND0:BC02:CH7_A,,false,0,,DSC:UND0:BC02:CH7_AFP,
,,DSC:UND0:BC02:CH8_A,,false,0,,DSC:UND0:BC02:CH8_AFP,
